Date,Open,High,Low,Close,Volume
10/20/2021 15:30:00,1371.38,1371.38,1345.75,1350.2,5865926
10/21/2021 15:30:00,1363.7,1364,1301.6,1311.25,9613812
10/22/2021 15:30:00,1310,1332.45,1305.75,1313.7,5089178
10/25/2021 15:30:00,1340,1340,1285,1300.9,7937067
10/26/2021 15:30:00,1308.55,1334.45,1301.58,1330.53,4499706
10/27/2021 15:30:00,1326,1338.4,1309.97,1313.7,4567140
10/28/2021 15:30:00,1310,1318.98,1295.25,1299.3,4562471
10/29/2021 15:30:00,1298.08,1298.08,1250.85,1268.13,6568539
11/1/2021 15:30:00,1268.13,1278,1247.05,1268.9,7144532
11/2/2021 15:30:00,1272.5,1274,1247.63,1250.4,4877652
11/3/2021 15:30:00,1253.03,1260,1230.5,1241.8,5533120
11/4/2021 19:15:00,1246.47,1252.45,1245,1249.43,787160
11/8/2021 15:30:00,1259.7,1260,1228.2,1250.97,9385607
11/9/2021 15:30:00,1252.5,1264.45,1243.53,1260.85,7237470
11/10/2021 15:30:00,1258.35,1279,1251.83,1274.95,4731975
11/11/2021 15:30:00,1270.03,1285.25,1267.78,1277.28,4948422
11/12/2021 15:30:00,1281.45,1299.38,1278.5,1296.55,4020744
11/15/2021 15:30:00,1300,1301.1,1285,1288.9,2216708
11/16/2021 15:30:00,1286.03,1287.5,1247.5,1258.95,5232292
11/17/2021 15:30:00,1249.47,1249.47,1230.5,1232,4708235
11/18/2021 15:30:00,1230,1244.5,1225.03,1236.65,3925345
11/22/2021 15:30:00,1218.05,1224.5,1175.5,1181.88,11133364
11/23/2021 15:30:00,1166.53,1200.63,1154.5,1192.93,11688406
11/24/2021 15:30:00,1190,1204.95,1171.78,1175.7,7762564
11/25/2021 15:30:00,1186.5,1251,1178.58,1246.47,19568487
11/26/2021 15:30:00,1233.9,1238.8,1200.75,1206.3,7274686
11/29/2021 15:30:00,1219.55,1250,1199.55,1220.75,11226147
11/30/2021 15:30:00,1234,1237.95,1194.43,1202.7,14847511
12/1/2021 15:30:00,1216.5,1237,1212.55,1233.5,4663276
12/2/2021 15:30:00,1234.85,1248.1,1230.8,1241.43,5870468
12/3/2021 15:30:00,1249.2,1249.25,1200,1204.13,8871172
12/6/2021 15:30:00,1208,1212.5,1178.58,1181.3,4768334
12/7/2021 15:30:00,1188.08,1202,1180,1190.93,5185007
12/8/2021 15:30:00,1212.05,1215.9,1203.15,1209.05,4035437
12/9/2021 15:30:00,1217.5,1237.45,1212.5,1228.22,6098050
12/10/2021 15:30:00,1220.13,1233,1215.18,1229.47,3860176
12/13/2021 15:30:00,1236.75,1237.05,1202,1204.83,5954148
12/14/2021 15:30:00,1190,1203,1186.7,1190.08,5995586
12/15/2021 15:30:00,1192,1202.5,1180.55,1186.6,4322855
12/16/2021 15:30:00,1202.85,1207.75,1184.33,1201.95,4504829
12/17/2021 15:30:00,1199.03,1204,1160,1170.22,9714489
12/20/2021 15:30:00,1158.93,1158.93,1123.55,1138.68,6611376
12/21/2021 15:30:00,1155.68,1173,1146.1,1155.63,5924071
12/22/2021 15:30:00,1162.45,1185.95,1161,1183.05,8149415
12/23/2021 15:30:00,1187,1190,1179.03,1182.63,4186912
12/24/2021 15:30:00,1185,1196,1168.78,1186.4,3639616
12/27/2021 15:30:00,1180.78,1189,1174.05,1185.13,1853948
12/28/2021 15:30:00,1187.8,1202.43,1186.53,1199.2,2941883
12/29/2021 15:30:00,1195.5,1209.5,1191.05,1201.25,7118779
12/30/2021 15:30:00,1200,1202.47,1172.8,1179.55,13537254
12/31/2021 15:30:00,1186.5,1191.95,1180,1184.08,4373768
1/3/2022 15:30:00,1182.5,1203.97,1181.78,1201.93,2502073
1/4/2022 15:30:00,1207.95,1230.5,1202,1229.05,5006225
